itemCollection_SLDF_Mechs_lvl-1,,,
itemCollection_Mechs_common,Reference,1,1
mechdef_grasshopper_GHR-5H,Mech,1,6
mechdef_orion_ON1-K,Mech,1,3
mechdef_orion_ON1-V,Mech,1,3
mechdef_banshee_BNC-3E,Mech,1,3
mechdef_banshee_BNC-3M,Mech,1,3
mechdef_bullshark_BSK-M3,Mech,1,3
mechdef_quickdraw_QKD-5A,Mech,1,3
mechdef_archer_ARC-2R,Mech,1,3
mechdef_centurion_CN9-A,Mech,1,2
mechdef_dragon_DRG-1N,Mech,1,2
mechdef_wolverine_WVR-6K,Mech,1,1
mechdef_panther_PNT-9R,Mech,1,1
mechdef_cicada_CDA-3C,Mech,1,1
mechdef_vindicator_VND-1R,Mech,1,1
mechdef_warhammer_WHM-6R,Mech,1,1
mechdef_phoenixhawk_PXH-1,Mech,1,1
mechdef_griffin_GRF-1N,Mech,1,1
mechdef_griffin_GRF-1S,Mech,1,1
mechdef_marauder_MAD-3R,Mech,1,1
mechdef_wolverine_WVR-6R,Mech,1,1
